text,rating,label
Poor packaging and damaged item.,1,0
This is a scam. Do not buy this!,2,0
"Exceeded my expectations, fantastic build quality.",4,1
Fast delivery and excellent packaging.,4,1
"Five stars, highly impressed!",4,1
"Absolutely loved it, highly recommend!",5,1
Poor packaging and damaged item.,1,0
"Superb product, will buy again!",4,1
Top notch quality and performance.,4,1
"Superb product, will buy again!",4,1
Customer support never responded.,1,0
Customer service was very helpful and responsive.,5,1
"Exceeded my expectations, fantastic build quality.",4,1
Not worth the money. Poor quality.,2,0
I regret buying this. Totally disappointed.,1,0
Top notch quality and performance.,4,1
Stopped working after a week.,2,0
I regret buying this. Totally disappointed.,2,0
Poor packaging and damaged item.,2,0
"Brilliant product, works flawlessly.",5,1
Really happy with this purchase.,4,1
Very bad quality and cheap material.,1,0
Product broke after two uses. Very disappointed.,2,0
Poor packaging and damaged item.,2,0
Poor packaging and damaged item.,1,0
I am extremely satisfied with my purchase.,4,1
"Terrible product, stopped working in one day.",2,0
Not as described. Very misleading.,1,0
Product broke after two uses. Very disappointed.,1,0
Great experience overall.,5,1
Great experience overall.,4,1
Completely disappointed.,2,0
"Absolutely loved it, highly recommend!",4,1
Cheap and unreliable.,1,0
Customer service was very helpful and responsive.,5,1
Fast delivery and excellent packaging.,5,1
Not as described. Very misleading.,1,0
"Five stars, highly impressed!",5,1
Impressive quality and fast shipping.,4,1
Top notch quality and performance.,4,1
"Exceeded my expectations, fantastic build quality.",5,1
Poor packaging and damaged item.,2,0
This product is amazing and works perfectly!,5,1
Great experience overall.,4,1
Extremely dissatisfied with this purchase.,2,0
Not as described. Very misleading.,1,0
"Exceeded my expectations, fantastic build quality.",4,1
Poor packaging and damaged item.,1,0
Customer support never responded.,2,0
Impressive quality and fast shipping.,4,1
Very bad quality and cheap material.,2,0
Fake product. Waste of money.,2,0
Not worth the money. Poor quality.,2,0
Stopped working after a week.,2,0
This product is amazing and works perfectly!,5,1
Very bad quality and cheap material.,2,0
I regret buying this. Totally disappointed.,2,0
Top notch quality and performance.,4,1
Stopped working after a week.,1,0
This product is amazing and works perfectly!,4,1
This product is amazing and works perfectly!,4,1
Customer support never responded.,2,0
Top notch quality and performance.,5,1
I am extremely satisfied with my purchase.,5,1
"Absolutely loved it, highly recommend!",5,1
"Terrible product, stopped working in one day.",1,0
Extremely dissatisfied with this purchase.,2,0
Worth every penny.,4,1
Impressive quality and fast shipping.,4,1
Not as described. Very misleading.,2,0
"Five stars, highly impressed!",4,1
"Superb product, will buy again!",4,1
Poor packaging and damaged item.,2,0
"Brilliant product, works flawlessly.",5,1
This is a scam. Do not buy this!,2,0
"Superb product, will buy again!",5,1
Stopped working after a week.,1,0
Fast delivery and excellent packaging.,5,1
"Five stars, highly impressed!",5,1
"Superb product, will buy again!",5,1
This is a scam. Do not buy this!,1,0
Cheap and unreliable.,1,0
Not as described. Very misleading.,1,0
"Brilliant product, works flawlessly.",4,1
Not as described. Very misleading.,1,0
"Superb product, will buy again!",4,1
Stopped working after a week.,2,0
Stopped working after a week.,2,0
Poor packaging and damaged item.,1,0
"Terrible product, stopped working in one day.",1,0
Extremely dissatisfied with this purchase.,1,0
"Superb product, will buy again!",5,1
"Exceeded my expectations, fantastic build quality.",4,1
"Brilliant product, works flawlessly.",4,1
Fast delivery and excellent packaging.,5,1
"Exceeded my expectations, fantastic build quality.",5,1
Really happy with this purchase.,4,1
Very bad quality and cheap material.,2,0
Cheap and unreliable.,2,0
Not as described. Very misleading.,1,0
"Superb product, will buy again!",5,1
Not worth the money. Poor quality.,1,0
Extremely dissatisfied with this purchase.,1,0
Impressive quality and fast shipping.,5,1
Top notch quality and performance.,5,1
I am extremely satisfied with my purchase.,5,1
Customer support never responded.,1,0
"Absolutely loved it, highly recommend!",4,1
This is a scam. Do not buy this!,1,0
"Exceeded my expectations, fantastic build quality.",5,1
Worth every penny.,5,1
Very good quality for the price.,5,1
"Absolutely loved it, highly recommend!",4,1
"Brilliant product, works flawlessly.",5,1
"Exceeded my expectations, fantastic build quality.",5,1
Top notch quality and performance.,4,1
Customer support never responded.,1,0
Great experience overall.,5,1
"Terrible product, stopped working in one day.",2,0
"Brilliant product, works flawlessly.",4,1
Great experience overall.,5,1
"Brilliant product, works flawlessly.",4,1
I am extremely satisfied with my purchase.,4,1
Extremely dissatisfied with this purchase.,2,0
Very good quality for the price.,5,1
"Exceeded my expectations, fantastic build quality.",4,1
I regret buying this. Totally disappointed.,2,0
Top notch quality and performance.,4,1
Customer support never responded.,2,0
I regret buying this. Totally disappointed.,2,0
Not worth the money. Poor quality.,2,0
Worth every penny.,4,1
I am extremely satisfied with my purchase.,4,1
"Absolutely loved it, highly recommend!",4,1
Fast delivery and excellent packaging.,4,1
Completely disappointed.,2,0
Customer support never responded.,2,0
I regret buying this. Totally disappointed.,2,0
Great experience overall.,4,1
"Brilliant product, works flawlessly.",4,1
"Exceeded my expectations, fantastic build quality.",5,1
Worst experience ever. Completely useless.,2,0
Very good quality for the price.,5,1
Very bad quality and cheap material.,1,0
Stopped working after a week.,2,0
I regret buying this. Totally disappointed.,1,0
Worst experience ever. Completely useless.,2,0
"Terrible product, stopped working in one day.",2,0
Fake product. Waste of money.,2,0
Fast delivery and excellent packaging.,4,1
"Superb product, will buy again!",5,1
Customer support never responded.,2,0
"Brilliant product, works flawlessly.",5,1
Impressive quality and fast shipping.,5,1
Worst experience ever. Completely useless.,2,0
"Absolutely loved it, highly recommend!",5,1
Fast delivery and excellent packaging.,5,1
Cheap and unreliable.,2,0
Top notch quality and performance.,5,1
Cheap and unreliable.,2,0
Very good quality for the price.,4,1
Worst experience ever. Completely useless.,2,0
"Absolutely loved it, highly recommend!",4,1
Top notch quality and performance.,5,1
Top notch quality and performance.,4,1
This is a scam. Do not buy this!,1,0
Fast delivery and excellent packaging.,4,1
Very bad quality and cheap material.,1,0
I regret buying this. Totally disappointed.,2,0
Cheap and unreliable.,2,0
Top notch quality and performance.,4,1
Very bad quality and cheap material.,2,0
"Terrible product, stopped working in one day.",1,0
Not as described. Very misleading.,1,0
"Five stars, highly impressed!",5,1
"Brilliant product, works flawlessly.",5,1
Fast delivery and excellent packaging.,4,1
Not worth the money. Poor quality.,2,0
This is a scam. Do not buy this!,1,0
Really happy with this purchase.,4,1
I regret buying this. Totally disappointed.,1,0
This product is amazing and works perfectly!,4,1
Cheap and unreliable.,2,0
Customer support never responded.,1,0
"Absolutely loved it, highly recommend!",5,1
"Absolutely loved it, highly recommend!",5,1
Poor packaging and damaged item.,2,0
Not as described. Very misleading.,1,0
Not as described. Very misleading.,2,0
Great experience overall.,4,1
Fast delivery and excellent packaging.,4,1
Stopped working after a week.,2,0
